1,サイドスリップの検査をします,Start to check the sideslip ,检查侧滑,檢查側滑,사이드슬립을 검사하겠습니다.,O alinhamento será inspecionado.,
2,ゆっくり前進してください,Please go forward slowly.,请慢慢前进,請慢慢前進,천천히 전진해 주십시오.,Siga em frente lentamente.,
3,検査をやり直します,Let's check the sideslip again.,重新检查,重新檢查,검사를 다시 하겠습니다.,A inspeção será realizada novamente.,
4,検査官が指示する場所まで、ゆっくり後退してください,Please go back slowly to the place specified by the Inspector.,请慢慢后退到检验官指示的地方,請慢慢後退到檢驗官指示的地方,검사관이 지시하는 장소까지 천천히 후퇴해 주십시오.,Recue lentamente até o lugar indicado pelo inspetor.,
5,合格です（特例値合格用）,You have passed.,合格,合格,합격입니다.,Aprovado.,
6,サイドスリップの検査は終了です,The side slip check is complete.,侧滑检查结束,側滑檢查結束,사이드슬립 검사가 종료되었습니다.,A inspeção do alinhamento foi concluída.,
7,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,ブレーキを検査します,Start to check the  brakes.,检查煞车器,檢查煞車器,브레이크를 검사하겠습니다.,Os freios serão inspecionados.,
2,ゆっくり前進して前輪をブレーキテスタに乗せてください,"Slowly go forward, and place the front wheels on the brake tester.",请慢慢前进并让前轮上到煞车检测仪,請慢慢前進並讓前輪上到煞車試驗器,천천히 전진하여 앞바퀴를 브레이크 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque as rodas dianteiras sobre o testador de freio.,
3,ギアをニュートラルにしてください,Please shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
4,駐車ブレーキを戻してください,Release the parking brake.,请放回手煞车,請放回手煞車,주차 브레이크를 되돌려 놓아 주십시오.,Desative o freio de mão.,
5,フットブレーキを離してください,Release the foot brake.,请放开脚煞车,請放開腳煞車,풋 브레이크를 떼어 주십시오,Tire o pé do pedal de freio.,
6,フットブレーキをゆっくり踏んでください,Slowly press the foot brake.,请慢慢踩下脚煞车,請慢慢踩下腳煞車,풋 브레이크를 천천히 밟아 주십시오,Pise lentamente no pedal de freio.,
7,もう一度検査をします,Check the foot brake again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.,
8,ゆっくり前進して後輪をブレーキテスタに乗せてください,"Slowly go forward, and place the rear wheels on the brake tester.",请慢慢前进并让后轮上到煞车检测仪,請慢慢前進並讓後輪上到煞車試驗器,천천히 전진하여 뒷바퀴를 브레이크 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque as rodas traseiras sobre o testador de freio.,
9,駐車ブレーキをゆっくりかけてください,Slowly apply the parking brake.,请慢慢拉手煞车,請慢慢拉手煞車,주차 브레이크를 천천히 걸어 주십시오. ,Ative lentamente o freio de mão.,
10,フットブレーキを踏まないでください,Do not press the foot brake.,请不要踩脚煞车,請不要踩腳煞車,풋 브레이크는 밟지 마십시오.,Não pise no pedal de freio.,
11,ブレーキの検査は終了です,The brake check is complete.,煞车器的检查结束,煞車器的檢查結束,브레이크 검사가 종료되었습니다.,A inspeção dos freios foi concluída.,
12,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,スピードメータを検査します,Start to check the speedometer.,检查速度表,檢查速度計,스피드 미터를 검사하겠습니다.,O velocímetro será inspecionado.,
2,ゆっくり前進して前輪をスピードメータテスタに乗せてください,"Slowly go forward, and place the front wheels on the speedometer tester.",请慢慢前进并让前轮上到速度表检测仪,請慢慢前進並讓前輪上到速度計試驗器,천천히 전진하여 앞바퀴를 스피드 미터 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque as rodas dianteiras sobre o testador do velocímetro.,
3,ゆっくり前進して後輪をスピードメータテスタに乗せてください,"Slowly go forward, and place the rear wheels on the speedometer tester.",请慢慢前进并让后轮上到速度表检测仪,請慢慢前進並讓後輪上到速度計試驗器,천천히 전진하여 뒷바퀴를 스피드 미터 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque as rodas traseiras sobre o testador do velocímetro.,
4,4WD車なのでマルチコースで検査をします,"This is a 4WD vehicle, so we'll test it on a multi-course.",因为是4WD的车所以要进行多行程的检查,因為是4WD的車所以要進行多行程的檢查,4WD 차량은 멀티코스에서 검사하겠습니다.,"Como este é um veículo 4x4, a inspeção será realizada na pista Multi-Course.",
5,駐車ブレーキをかけてください（FF車）,Apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
6,トラクションコントロールを解除してください,Disengage the traction control.,请解除驱动轮加载调节功能,請解除驅動輪加載調節功能,트랙션 컨트롤 시스템을 해제하여 주십시오.,Desative o controle de tração.,
7,坂道発進を解除してください,Disengage slope starting.,请解除坡路上起步功能,請解除上坡起步功能,언덕길 발진 보조장치를 해제하여 주십시오.,Desative o assistente de partida em rampa,
8,デフを入れてください,Engage the differential gear.,请推入差速齿轮,請推入差速齒輪,디퍼렌셜 기어를 넣어 주십시오.,Acione o diferencial.,
9,ギアをドライブに入れてください,Shift the gear into drive position.,请将变速器操纵杆推入传动装置,請將變速桿推入傳動裝置,기어를 드라이브에 넣어 주십시오.,Coloque o câmbio em D.,
10,ゆっくりスピードを上げスピードメーターが40km/hを指した時にボタンを押してください,"Slowly increase speed, and when the speedometer reads 40km/h, press the button.",请慢慢加速并等速度表指到40km/h时按下按钮,請慢慢加速並等速度計指到40km/h時按下按鈕,천천히 가속하여 스피드 미터가 40km/h를 가리켰을 때 버튼을 눌러 주십시오.,"Acelere lentamente, e pressione o botão quando o velocímetro atingir 40km/h.",
11,もう一度検査をします,Check the speedometer again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.,
12,フットブレーキをゆっくり踏んで停止してください,"Slowly press the foot brake, and stop.",请慢慢踩脚煞车后停车,請慢慢踩腳煞車後停車,풋 브레이크를 천천히 밟아서 정지해 주십시오.,Pise lentamente no pedal de freio e pare.,
13,スピードメータの検査は終了です,The speedometer check is complete.,速度表检查结束,速度計檢查結束,스피드 미터 검사가 종료되었습니다.,A inspeção do velocímetro foi concluída.,
14,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,ヘッドライトの検査をします,Start to check the headlights.,检查汽车大灯,檢查頭燈,헤드라이트를 검사하겠습니다.,Os faróis serão inspecionados.,
2,ゆっくり前進してください,Please go forward slowly.,请慢慢前进,請慢慢前進,천천히 전진해 주십시오.,Siga em frente lentamente.,
3,停止してください,Stop.,请停止,請停止,정지해 주십시오.,Pare.,
4,駐車ブレーキをかけ、ギアをニュートラルにしてください,"Apply the parking brake, and shift the gear into neutral position.",请拉手煞车，并将变速器操纵杆调成空挡,請拉手煞車，並將變速桿調成空擋,"주차 브레이크를 걸고, 기어를 중립에 넣어 주십시오.","Ative o freio de mão, e coloque o câmbio em N.",
5,ライトを上向きに点灯してください,Turn on the high beams.,请打车灯的远光灯,請打車燈的遠光燈,라이트를 상향으로 점등해 주십시오.,Acenda a luz alta.,
6,ライトを下向きに点灯してください,Turn on the low beams.,请打车灯的近光灯,請打車燈的近光燈,라이트를 하향으로 점등해 주십시오.,Acenda a luz baixa.,
7,レベライザを「０」に変更してください,"Change the levelizer to ""0"".","请将调平器变为""０""",請將調平器變為「０」,레벨라이저를 '0'로 변경해 주십시오.,Ajuste o nivelador em “0”.,
8,フォグランプを消してください,Turn off the fog lamps.,请关掉前置雾灯,請關掉前置霧燈,포그 램프를 꺼 주십시오.,Apague o farol de neblina.,
9,車から降りてください,Please get out of the vehicle.,请下车,請下車,차에서 내려 주십시오.,Desça do carro.,
10,副灯にカバーをかけてください,Please shade  the side light with the cover.,请在副灯上盖上灯罩,請在副燈上蓋上燈罩,보조등에 커버를 씌워 주십시오.,Tampe o farol secundário.,
11,検査開始ボタンを押してください,Press the TEST START button.,请按下开始检查按钮,請按下開始檢查按鈕,검사시작 버튼을 눌러 주십시오.,Pressione o botão de início da inspeção.,
12,検査中です、そのままお待ちください,"Test is now in progress, please wait.",检查中，请在此稍候,檢查中，請在此稍等一下,"검사중입니다, 그대로 잠시만 기다려 주십시오.",A inspeção está sendo realizada. Aguarde um momento.,
13,ヘッドライトの検査は終了です,The headlights check is complete.,汽车大灯的检查结束,頭燈的檢查結束,헤드라이트 검사가 종료되었습니다.,A inspeção dos faróis foi concluída.,
14,ヘッドライトを消してください,Turn off the headlights.,请关掉汽车大灯,請關掉頭燈,헤드라이트를 꺼 주십시오.,Apague os faróis.,
15,記録してください,Please record the result.,请记录,請記錄,기록해 주십시오.,Faça o registro.,
16,車に乗ってください,Please get in the vehicle.,请上车,請上車,차에 타 주십시오.,Entre no carro.,
1,排気ガスを検査します,Start to check the exhaust.,检查汽车尾气,檢查汽車廢氣,배기가스를 검사하겠습니다.,Os gases de escape serão inspecionados.,
2,ゆっくり停止線まで進んで停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进到停止线后停车,請慢慢前進到停止線後停車,천천히 정지선까지 나아간 후 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,エンジンを始動してください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
4,ギアをニュートラルにしてください,Shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
5,駐車ブレーキをかけてください,Please apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
6,検査モードの設定が必要なので検査官の指示に従ってください,"Test mode setting is required, so follow the Inspector's instructions.",因需设定检查模式所以请遵从检验官的指示,因需設定檢查模式所以請遵從檢驗官的指示,검사 모드를 설정해야 합니다. 검사관의 지시에 따라 주십시오.,Siga as instruções do inspetor para configurar o modo de inspeção.,
7,車から降りてください,Please get off the car.,请下车,請下車,차에서 내려 주십시오.,Desça do carro.,
8,検査官が指示するボタンを押してください,Press the button specified by the Inspector.,请按下检验官指示的按钮,請按下檢驗官指示的按鈕,검사관이 지시하는 버튼을 눌러 주십시오.,Pressione os botões indicados pelo inspetor.,
9,プローブをマフラーに挿してください,Please insert the probe into the exhaust pipe.,请将传感器插入消音器,請將傳感器插入消音器,프로브를 머플러에 꽂아 주십시오.,Insira a sonda no silenciador.,
10,フットスイッチに乗ってください,Please get on the footswitch.,请上垫子开关,請上墊子開關,풋 스위치에 올라서 주십시오.,Suba no acionador.,
11,そのまま待機してください,Please wait as it is.,请在此稍候,請在此稍候一下,그대로 대기해 주십시오.,Aguarde um momento.,
12,排気ガスの検査は終了です,The exhaust check is complete.,车尾气检查结束,汽車廢氣檢查結束,배기가스 검사가 종료되었습니다.,A inspeção dos gases de escape foi concluída.,
13,プローブを抜いてください,Please pull out the probe.,请取下传感器,請取下傳感器,프로브를 빼 주십시오.,Remova a sonda.,
14,記録してください,Record the result.,请记录,請記錄,기록해 주십시오.,Faça o registro.,
15,車に乗ってください,Please get in the car.,请上车,請上車,차에 타 주십시오.,Entre no carro.,
1,ディーゼル黒煙を検査します,Start to check for diesel black smoke.,检查内燃机黑烟,檢查內燃機黑煙,디젤 흑연을 검사하겠습니다.,A fumaça preta do motor a diesel será inspecionada.,
2,ゆっくり停止線まで進んで停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进到停止线后停车,請慢慢前進到停止線後停車,천천히 정지선까지 나아간 후 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,ギアをニュートラルにしてください,Shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
4,駐車ブレーキをかけてください,Apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
5,エンジンを止めてください,Stop the engine.,请关掉引擎,請關掉引擎,엔진 시동을 꺼 주십시오.,Desligue o motor.,
6,ギアがニュートラルになっているか再確認してください,Please check again whether the gear is in neutral position.,请再次确认变速器操纵杆是否调成空挡,請再次確認變速桿是否有調成空擋,기어를 중립에 넣었는지 재확인해 주십시오.,Certifique-se de que o câmbio esteja em N.,
7,駐車ブレーキが作動しているか再確認してください,Please check again whether the parking brake is working.,请再次确认手煞车是否拉起,請再次確認手煞車是否有拉起,주차 브레이크가 작동되고 있는지 재확인해 주십시오.,Certifique-se de que o freio de mão esteja ativado.,
8,エンジンを始動してください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
9,車から降りてください,Get out of the vehicle.,请下车,請下車,차에서 내려 주십시오.,Desça do carro.,
10,申請書類を渡してください,Please give me your application form.,请交申请文件,請交出申請文件,신청 서류를 건네 주십시오.,Entregue os documentos de solicitação.,
11,検査を始めます,Let's start the check.,开始检查,開始檢查,검사를 시작하겠습니다.,A inspeção será iniciada.,
12,アクセルを操作します,Let's operate the accelerator by inspector.,操作加速器,操作加速器,액셀을 조작합니다. ,O acelerador será operado.,
13,検査結果を記録します。,Let's record the results.,记录检查结果。,記錄檢查結果。,검사 결과를 기록합니다. ,O resultado da inspeção será registrado.,
14,ディーゼル黒煙の検査は終了です,The diesel black smoke check is complete.,内燃机黑烟的检查结束,內燃機黑煙的檢查結束,디젤 흑연 검사가 종료되었습니다.,A inspeção de fumaça preta do motor a diesel foi concluída.,
15,車に乗ってください,Please get in the vehicle.,请上车,請上車,차에 타 주십시오.,Entre no carro.,
1,下回り検査をします,Start to check underneath.,底盘检查,底盤檢查,차량 하부를 검사하겠습니다.,A parte inferior será inspecionada.,
2,ゆっくり前進して停止線で停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进并停在停止线上,請慢慢前進並停在停止線上,천천히 전진하여 정지선에서 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,ハンドルを左右に動かしてください,Turn the steering wheel to the left and right.,请将方向盘左右转动,請將方向盤左右轉動,핸들을 좌우로 움직여 주십시오.,Gire o volante para a esquerda e para a direita.,
4,ハンドルから手を離してください,Take your hands off the steering wheel.,手请不要碰方向盘,手請不要碰方向盤,핸들에서 손을 떼어 주십시오.,Tire as mãos do volante.,
5,エンジンを止めてください,Stop the engine.,请关掉引擎,請關掉引擎,엔진 시동을 꺼 주십시오.,Desligue o motor.,
6,フットブレーキを踏んでください,Press the foot brake.,请踩脚煞车,請踩腳煞車,풋 브레이크를 밟아 주십시오.,Pise no pedal de freio.,
7,フットブレーキを離してください,Release the foot brake.,请放开脚煞车,請放開腳煞車,풋 브레이크를 떼어 주십시오,Tire o pé do pedal de freio.,
8,駐車ブレーキをかけてください,Apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
9,駐車ブレーキを戻してください,Return the parking brake.,请放回手煞车,請放回手煞車,주차 브레이크를 되돌려 놓아 주십시오.,Desative o freio de mão.,
10,エンジンをかけてください,Start to check underneath.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
11,下回りの検査は終了です,The underneath check is complete.,底盘检查结束,底盤檢查結束,차량 하부검사가 종료되었습니다.,A inspeção da parte inferior foi concluída.,
12,前進して記録してください,Please  go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,運転者席の窓を開けてください,Please open the driver's seat window.,请打开驾驶座的窗户,請打開駕駛座的窗戶,운전자 좌석 쪽의 창문을 내려 주십시오.,Abra a janela do motorista.,
2,申請書類を確認します,Please show your application form to the inspector.,确认申请文件,確認申請文件,신청서류를 확인합니다. ,Os documentos de solicitação serão verificados.,
3,総合判定室まで進んでください,Please go forward to the Overall Judgment Room.,请到综合评定室,請到綜合評定室,종합판정실까지 나아가 주십시오.,Siga para a sala de espera dos resultados gerais.,
4,この車はこのコースで検査はできません,This vehicle cannot be checked on this course.,这辆车不能在这个车道检查,這輛車不能在這個車道檢查,이 코스에서는 검사할 수 없는 차량입니다.,Este carro não pode ser inspecionado nesta pista.,
5,検査官が指示するコースにお並びください,Line up on the course specified by the Inspector.,请排到检验官指示的车道,請排到檢驗官指示的車道,검사관이 지시하는 코스에 서 주십시오.,Entre na fila da pista indicada pelo inspetor.,