1,サイドスリップを検査します,Start to check the sideslip ,检查侧滑,檢查側滑,사이드슬립을 검사하겠습니다.,O alinhamento será inspecionado.,
2,ゆっくり前進してください,Please go forward slowly.,请慢慢前进,請慢慢前進,천천히 전진해 주십시오.,Siga em frente lentamente.,
3,速度オーバーです,"The speed was too high, please slow down.",超速,超速,속도 초과입니다.,Está acima da velocidade permitida.,
4,検査をやり直します,Let's check the sideslip again.,重新检查,重新檢查,검사를 다시 하겠습니다.,A inspeção será realizada novamente.,
5,検査官が指示する場所まで、ゆっくり後退してください,Please go back slowly to the place instructed by the Inspector.,请慢慢后退到检验官指示的地方,請慢慢後退到檢驗官指示的地方,검사관이 지시하는 장소까지 천천히 후퇴해 주십시오.,Recue lentamente até o lugar indicado pelo inspetor.,
6,停止してください,Stop.,请停止,請停止,정지해 주십시오.,Pare.,
7,合格です（特例値合格用）,You have passed.,合格,合格,합격입니다.,Aprovado.,
8,サイドスリップの検査は終了です,The side slip check is complete.,侧滑检查结束,側滑檢查結束,사이드슬립 검사가 종료되었습니다.,A inspeção do alinhamento foi concluída.,
9,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,スピードメータを検査します,Start to check the speedometer.,检查速度表,檢查速度計,스피드 미터를 검사하겠습니다.,O velocímetro será inspecionado.,
2,前方のテスタに乗り入れてください,Please get on the tester in front.,请开入前方的检测仪,請開入前方的試驗器,전방에 있는 테스터에 타고 올라가십시오.,Entre no testador à frente.,
3,停止してください,Stop.,请停止,請停止,정지해 주십시오.,Pare.,
4,駐車ブレーキをかけないでください,Do not apply the parking brake.,请不要拉手煞车,請不要拉手煞車,주차 브레이크를 걸지 마십시오.,Deixe o freio de mão desativado.,
5,ギアをドライブに入れてください,Shift the gear into drive position.,请将变速器操纵杆推入传动装置,請將變速桿推入傳動裝置,기어를 드라이브에 넣어 주십시오.,Coloque o câmbio em D.,
6,スピードメーターが40km/hを指した時にボタンを押してください,"When the speedometer indicates 40km/h, press the button.",请在速度表指到40km/h时按下按钮,請在速度計指到40km/h時按下按鈕,스피드 미터가 40km/h를 가리켰을 때 버튼을 눌러 주십시오.,Pressione o botão quando o velocímetro atingir 40km/h.,
7,フットブレーキをゆっくり踏んで停止してください,"Slowly press the foot brake, and stop.",请慢慢踩脚煞车后停车,請慢慢踩腳煞車後停車,풋 브레이크를 천천히 밟아서 정지해 주십시오.,Pise lentamente no pedal de freio e pare.,
8,もう一度検査をします,Check the speedometer again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.,
9,スピードメータの検査は終了です,The speedometer check is complete.,速度表检查结束,速度計檢查結束,스피드 미터 검사가 종료되었습니다.,A inspeção do velocímetro foi concluída.,
10,駐車ブレーキをかけ、ギアをニュートラルにしてください,"Apply the parking brake, and shift the gear into neutral position.",请拉手煞车，并将变速器操纵杆调成空挡,請拉手煞車，並將變速桿調成空擋,"주차 브레이크를 걸고, 기어를 중립에 넣어 주십시오.","Ative o freio de mão, e coloque o câmbio em N.",
11,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,ヘッドライトの検査します,Start to check the headlights.,检查汽车大灯,檢查頭燈,헤드라이트를 검사하겠습니다.,Os faróis serão inspecionados.,
2,ゆっくり20km/hまで速度を上げてください,Increase speed slowly to 20km/h.,请慢慢加速至20km/h,請慢慢加速至20km/h,천천히 20km/h까지 속도를 올려 주십시오,Acelere lentamente até atingir 20km/h.,
3,フットブレーキをゆっくり踏んで停止してください,"Slowly press the foot brake, and stop.",请慢慢踩脚煞车后停车,請慢慢踩腳煞車後停車,풋 브레이크를 천천히 밟아서 정지해 주십시오.,Pise lentamente no pedal de freio e pare.,
4,駐車ブレーキをかけギアをニュートラルにしてください,"Apply the parking brake, and shift the gear into neutral position.",请拉手煞车，并将变速器操纵杆调成空挡,請拉手煞車，並將變速桿調成空擋,"주차 브레이크를 걸고, 기어를 중립에 넣어 주십시오.","Ative o freio de mão, e coloque o câmbio em N.",
5,ライトを上向きに点灯してください,Turn on the high beams.,请打车灯的远光灯,請打車燈的遠光燈,라이트를 상향으로 점등해 주십시오.,Acenda a luz alta.,
6,ライトを下向きに点灯してください,Turn on the low beams.,请打车灯的近光灯,請打車燈的近光燈,라이트를 하향으로 점등해 주십시오.,Acenda a luz baixa.,
7,レベライザを「０」に変更してください,"Change the levelizer to ""0"".","请将调平器变为""０""",請將調平器變為「０」,레벨라이저를 '0'로 변경해 주십시오.,Ajuste o nivelador em “0”.,
8,副灯にカバーをかけてください,Please shade  the side light with the cover.,请在副灯上盖上灯罩,請在副燈上蓋上燈罩,보조등에 커버를 씌워 주십시오.,Tampe o farol secundário.,
9,フォグランプを消してください,Turn off the fog lamps.,请关掉前置雾灯,請關掉前置霧燈,포그 램프를 꺼 주십시오.,Apague o farol de neblina.,
10,検査中です、そのままお待ちください,"Test is now in progress, please wait.",检查中，请在此稍候,檢查中，請在此稍等一下,"검사중입니다, 그대로 잠시만 기다려 주십시오.",A inspeção está sendo realizada. Aguarde um momento.,
11,ヘッドライトの検査は終了です,The headlight check is complete.,汽车大灯的检查结束,頭燈的檢查結束,헤드라이트 검사가 종료되었습니다.,A inspeção dos faróis foi concluída.,
12,ヘッドライトを消してください,Turn off the headlights.,请关掉汽车大灯,請關掉頭燈,헤드라이트를 꺼 주십시오.,Apague os faróis.,
13,ギアをニュートラルにして、駐車ブレーキをもどしてください,"Please shift the gear into neutral, and release the parking brake.",请将变速器操纵杆调成空挡，并放回手煞车,請將變速桿調成空擋，並放回手煞車,기어를 중립에 넣어 주차 브레이크를 되돌려 놓아 주십시오.,"Coloque o câmbio em N, e desative o freio de mão.",
14,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,フットブレーキを検査します,Start to check the foot brake.,检查脚煞车,檢查腳煞車,풋 브레이크를 검사하겠습니다.,O pedal de freio será inspecionado.,
2,ギアをニュートラルにしてください,Please shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
3,駐車ブレーキを戻してください,Release the parking brake.,请放回手煞车,請放回手煞車,주차 브레이크를 되돌려 놓아 주십시오.,Desative o freio de mão.,
4,フットブレーキを離してください,Release the foot brake.,请放开脚煞车,請放開腳煞車,풋 브레이크를 떼어 주십시오,Tire o pé do pedal de freio.,
5,フットブレーキをゆっくり踏んでください,Slowly press the foot brake.,请慢慢踩下脚煞车,請慢慢踩下腳煞車,풋 브레이크를 천천히 밟아 주십시오,Pise lentamente no pedal de freio.,
6,もう一度検査をします,Check the foot brake again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.,
7,フットブレーキの検査は終了です,The foot brake check is complete.,脚煞车的检查结束,腳煞車的檢查結束,풋 브레이크 검사가 종료되었습니다.,A inspeção do pedal de freio foi concluída.,
1,駐車ブレーキを検査します,Start to check the parking brake.,检查手煞车,檢查手煞車,주차 브레이크를 검사하겠습니다.,O freio de mão será inspecionado.,
2,駐車ブレーキをゆっくりかけてください,Slowly apply the parking brake.,请慢慢拉手煞车,請慢慢拉手煞車,주차 브레이크를 천천히 걸어 주십시오. ,Ative lentamente o freio de mão.,
3,フットブレーキを踏まないでください,Do not press the foot brake.,请不要踩脚煞车,請不要踩腳煞車,풋 브레이크는 밟지 마십시오.,Não pise no pedal de freio.,
4,駐車ブレーキを戻してください,Return the parking brake.,请放回手煞车,請放回手煞車,주차 브레이크를 되돌려 놓아 주십시오.,Desative o freio de mão.,
5,もう一度検査をします,Let's check again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.,
6,そのまま待機してください,Please wait as it is.,请在此稍候,請在此稍候一下,그대로 대기해 주십시오.,Aguarde um momento.,
7,駐車ブレーキの検査は終了です,The parking brake check is complete.,手煞车的检查结束,手煞車的檢查結束,주차 브레이크 검사가 종료되었습니다.,A inspeção do freio de mão foi concluída.,
8,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,排気ガスを検査します,Start to check the exhaust.,检查汽车尾气,檢查汽車廢氣,배기가스를 검사하겠습니다.,Os gases de escape serão inspecionados.,
2,ゆっくり停止線まで進んで停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进到停止线后停车,請慢慢前進到停止線後停車,천천히 정지선까지 나아간 후 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,エンジンを始動してください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
4,ギアをニュートラルにしてください,Shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
5,駐車ブレーキをかけてください,Please apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
6,検査モードの設定が必要なので検査官の指示に従ってください,"Test mode setting is required, please follow the Inspector's instructions.",因需设定检查模式所以请遵从检验官的指示,因需設定檢查模式所以請遵從檢驗官的指示,검사 모드를 설정해야 합니다. 검사관의 지시에 따라 주십시오.,Siga as instruções do inspetor para configurar o modo de inspeção.,
7,車から降りてください,Please get off the car.,请下车,請下車,차에서 내려 주십시오.,Desça do carro.,
8,検査官の指示するボタンを押してください,Press the button specified by the Inspector.,请按下检验官指示的按钮,請按下檢驗官指示的按鈕,검사관이 지시하는 버튼을 눌러 주십시오.,Pressione os botões indicados pelo inspetor.,
9,プローブをマフラーに挿してください,Please insert the probe into the exhaust pipe.,请将传感器插入消音器,請將傳感器插入消音器,프로브를 머플러에 꽂아 주십시오.,Insira a sonda no silenciador.,
10,フットスイッチに乗ってください,Please get on the footswitch.,请上垫子开关,請上墊子開關,풋 스위치에 올라서 주십시오.,Suba no acionador.,
11,そのまま待機してください,Please wait as it is.,请在此稍候,請在此稍候一下,그대로 대기해 주십시오.,Aguarde um momento.,
12,排気ガス検査は終了です,The exhaust check is complete.,车尾气检查结束,汽車廢氣檢查結束,배기가스 검사가 종료되었습니다.,A inspeção dos gases de escape foi concluída.,
13,プローブを抜いてください,Please pull out the probe.,请取下传感器,請取下傳感器,프로브를 빼 주십시오.,Remova a sonda.,
14,記録してください,Record the result.,请记录,請記錄,기록해 주십시오.,Faça o registro.,
15,車に乗ってください,Please get in the car.,请上车,請上車,차에 타 주십시오.,Entre no carro.,
1,ディーゼル黒煙を検査します,Start to check for diesel black smoke.,检查内燃机黑烟,檢查內燃機黑煙,디젤 흑연을 검사하겠습니다.,A fumaça preta do motor a diesel será inspecionada.,
2,ゆっくり停止線まで進んで停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进到停止线后停车,請慢慢前進到停止線後停車,천천히 정지선까지 나아간 후 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,ギアをニュートラルにしてください,Shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.,
4,駐車ブレーキをかけてください,Apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
5,エンジンを止めてください,Stop the engine.,请关掉引擎,請關掉引擎,엔진 시동을 꺼 주십시오.,Desligue o motor.,
6,ギアがニュートラルになっているか再確認してください,Please check again whether the gear is in neutral position.,请再次确认变速器操纵杆是否调成空挡,請再次確認變速桿是否有調成空擋,기어를 중립에 넣었는지 재확인해 주십시오.,Certifique-se de que o câmbio esteja em N.,
7,駐車ブレーキが作動しているか再確認してください,Please check again whether the parking brake is working.,请再次确认手煞车是否拉起,請再次確認手煞車是否有拉起,주차 브레이크가 작동되고 있는지 재확인해 주십시오.,Certifique-se de que o freio de mão esteja ativado.,
8,エンジンを始動してください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
9,車から降りてください,Get out of the vehicle.,请下车,請下車,차에서 내려 주십시오.,Desça do carro.,
10,申請書類を渡してください,Please pass me your application form.,请交申请文件,請交出申請文件,신청 서류를 건네 주십시오.,Entregue os documentos de solicitação.,
11,検査を始めます,Let's start the check by inspector.,开始检查,開始檢查,검사를 시작하겠습니다.,A inspeção será iniciada.,
12,アクセルを操作します,Let's operate the accelerator by inspector.,操作加速器,操作加速器,액셀을 조작합니다. ,O acelerador será operado.,
13,検査結果を記録します。,Let's record the results.,记录检查结果。,記錄檢查結果。,검사 결과를 기록합니다. ,O resultado da inspeção será registrado.,
14,ディーゼル黒煙の検査は終了です,The diesel black smoke check is complete.,内燃机黑烟的检查结束,內燃機黑煙的檢查結束,디젤 흑연 검사가 종료되었습니다.,A inspeção de fumaça preta do motor a diesel foi concluída.,
15,車に乗ってください,Please get in the vehicle.,请上车,請上車,차에 타 주십시오.,Entre no carro.,
1,下回り検査をします,Start to check underneath.,底盘检查,底盤檢查,차량 하부를 검사하겠습니다.,A parte inferior será inspecionada.,
2,ゆっくり前進して停止線で停止してください,"Please go forward slowly to the STOP line, and stop.",请慢慢前进并停在停止线上,請慢慢前進並停在停止線上,천천히 전진하여 정지선에서 정지해 주십시오.,Siga lentamente e pare na linha de parada.,
3,ハンドルを左右に動かしてください,Turn the steering wheel to the left and right.,请将方向盘左右转动,請將方向盤左右轉動,핸들을 좌우로 움직여 주십시오.,Gire o volante para a esquerda e para a direita.,
4,ハンドルから手を離してください,Take your hands off the steering wheel.,手请不要碰方向盘,手請不要碰方向盤,핸들에서 손을 떼어 주십시오.,Tire as mãos do volante.,
5,エンジンを止めてください,Stop the engine.,请关掉引擎,請關掉引擎,엔진 시동을 꺼 주십시오.,Desligue o motor.,
6,フットブレーキを踏んでください,Press the foot brake.,请踩脚煞车,請踩腳煞車,풋 브레이크를 밟아 주십시오.,Pise no pedal de freio.,
7,フットブレーキを離してください,Release the foot brake.,请放开脚煞车,請放開腳煞車,풋 브레이크를 떼어 주십시오,Tire o pé do pedal de freio.,
8,駐車ブレーキをかけてください,Apply the parking brake.,请拉手煞车,請拉手煞車,주차 브레이크를 걸어 주십시오.,Deixe o freio de mão ativado.,
9,駐車ブレーキを戻してください,Release the parking brake.,请放回手煞车,請放回手煞車,주차 브레이크를 되돌려 놓아 주십시오.,Desative o freio de mão.,
10,エンジンをかけてください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.,
11,下回りの検査は終了です,The underneath check is complete.,底盘检查结束,底盤檢查結束,차량 하부검사가 종료되었습니다.,A inspeção da parte inferior foi concluída.,
12,前進して記録してください,Please  go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.,
1,運転者席の窓を開けてください,Please open the driver's seat window.,请打开驾驶座的窗户,請打開駕駛座的窗戶,운전자 좌석 쪽의 창문을 내려 주십시오.,Abra a janela do motorista.,
2,申請書類を確認します,Please show your application form to the inspector.,确认申请文件,確認申請文件,신청서류를 확인합니다. ,Os documentos de solicitação serão verificados.,
3,総合判定室まで進んでください,Please go forward to the Overall Judgment Room.,请到综合评定室,請到綜合評定室,종합판정실까지 나아가 주십시오.,Siga para a sala de espera dos resultados gerais.,
4,この車はこのコースで検査はできません,This vehicle cannot be checked on this course.,这辆车不能在这个车道检查,這輛車不能在這個車道檢查,이 코스에서는 검사할 수 없는 차량입니다.,Este carro não pode ser inspecionado nesta pista.,
5,検査官が指示するコースにお並びください,Line up on the course specified by the Inspector.,请排到检验官指示的车道,請排到檢驗官指示的車道,검사관이 지시하는 코스에 서 주십시오.,Entre na fila da pista indicada pelo inspetor.,